Netid, Fid, LB_FF
1, 7, 4497867
1, 12, 635831
1, 10, 3303519
1, 4, 2365902
1, 15, 43892
1, 1, 381294
1, 2, 34926
1, 16, 1775908
1, 5, 1388973
1, 11, 2107498
1, 6, 259186
1, 14, 2084225
1, 9, 9893556
1, 13, 1616118
1, 3, 1217190
1, 8, 322634
1, 0, 133871
2, 13, 3633208
2, 29, 3213280
2, 21, 4964061
2, 12, 10362725
2, 16, 1469303
2, 0, 4789723
2, 24, 1900692
2, 26, 1895652
2, 27, 169397
2, 2, 6602670
2, 32, 3762959
2, 25, 3577584
2, 11, 774301
2, 23, 1365217
2, 1, 440986
2, 8, 1036071
2, 17, 524783
2, 19, 548517
2, 31, 602659
2, 28, 461354
2, 9, 3148430
2, 22, 3209973
2, 30, 1057061
2, 3, 1053214
2, 14, 2522897
2, 7, 358121
2, 5, 201678
2, 10, 1262225
2, 6, 1465305
2, 18, 1251394
2, 4, 1926168
2, 15, 2315048
2, 20, 4496725
3, 173, 39550880
3, 69, 21968749
3, 184, 172669415
3, 47, 60183697
3, 43, 19178711
3, 133, 169085980
3, 163, 173095
3, 77, 1235605
3, 25, 5487931
3, 87, 292554752
3, 177, 684552
3, 27, 13741406
3, 2, 181450
3, 23, 6288992
3, 182, 6048411
3, 152, 442800
3, 180, 45346819
3, 112, 28980996
3, 135, 721936028
3, 19, 13863213
3, 160, 10141110
3, 68, 26516550
3, 124, 16782342
3, 30, 28908200
3, 210, 19679722
3, 157, 6218381
3, 61, 210105331
3, 90, 65881481
3, 80, 30520352
3, 46, 9307378
3, 138, 184727014
3, 153, 264576
3, 5, 548603240
3, 142, 11801250
3, 38, 214668870
3, 193, 722423631
3, 106, 70980365
3, 178, 10553122
3, 223, 626434
3, 183, 10572457
3, 65, 780367661
3, 141, 27902507
3, 113, 257062669
3, 119, 70773175
3, 229, 5309659
3, 194, 16787032
3, 110, 58985452
3, 145, 5139459
3, 155, 28207698
3, 118, 1011666
3, 208, 171847664
3, 146, 187149802
3, 18, 297170752
3, 195, 577542
3, 115, 52486466
3, 26, 143132957
3, 227, 392883784
3, 120, 178976199
3, 225, 9103285
3, 57, 342156824
3, 220, 5409275
3, 188, 150822782
3, 168, 64791591
3, 20, 288501119
3, 156, 14811170
3, 104, 34179056
3, 59, 3872485
3, 4, 42684281
3, 186, 10824640
3, 107, 119240363
3, 171, 40526
3, 147, 253175
3, 122, 39586055
3, 216, 2650796
3, 39, 49533563
3, 203, 11320179
3, 52, 474184865
3, 170, 5440874
3, 217, 74832011
3, 161, 259540270
3, 134, 463187321
3, 131, 638551672
3, 31, 1524536
3, 136, 1104790170
3, 24, 27407338
3, 175, 504241557
3, 198, 1218754
3, 21, 36088
3, 111, 113745176
3, 176, 378855021
3, 49, 100819
3, 64, 208747467
3, 144, 9301677
3, 42, 317752332
3, 121, 42168535
3, 219, 42419375
3, 62, 26981
3, 48, 466384039
3, 16, 26936186
3, 0, 7108489
3, 98, 1473260434
3, 151, 5096047
3, 7, 22753
3, 88, 21906734
3, 192, 11903882
3, 13, 11523830
3, 169, 558163152
3, 215, 39642331
3, 1, 40264027
3, 108, 14083345
3, 197, 356593733
3, 51, 6401063
3, 56, 6603082
3, 36, 20930414
3, 159, 6346931
3, 109, 70514631
3, 167, 58995300
3, 105, 660177
3, 6, 59953005
3, 130, 75581256
3, 72, 2155848
3, 137, 45193462
3, 29, 72481918
3, 82, 64869826
3, 204, 381600835
3, 28, 5307033
3, 60, 13742537
3, 148, 10042555
3, 132, 304055491
3, 22, 291660988
3, 189, 11620612
3, 32, 13835302
3, 12, 2429511
3, 191, 183946662
3, 15, 42176389
3, 201, 7614887
3, 218, 2312362
3, 100, 459110
3, 116, 20088016
3, 95, 322693188
3, 226, 1504909
3, 86, 372551059
3, 81, 91649259
3, 3, 44867761
3, 78, 21064465
3, 67, 8997517
3, 41, 43900469
3, 200, 232334919
3, 205, 19497450
3, 202, 38762293
3, 58, 11619740
3, 50, 277899837
3, 75, 45472686
3, 211, 67897
3, 139, 377558981
3, 165, 22011
3, 207, 7009793
3, 44, 17749424
3, 212, 96093104
3, 187, 6190508
3, 71, 253795
3, 214, 13614758
3, 14, 87518279
3, 55, 16522756
3, 166, 12975089
3, 206, 20852578
3, 125, 2646498
3, 128, 14817892
3, 8, 5062886
3, 94, 260958266
3, 34, 910866
3, 162, 323501284
3, 224, 7067761
3, 99, 93639667
3, 85, 286470364
3, 54, 39461122
3, 45, 126898820
3, 40, 25969
3, 66, 19343410
3, 127, 276548
3, 73, 26576833
3, 158, 270937
3, 181, 643281974
3, 97, 378665196
3, 164, 16803682
3, 114, 1484080
3, 209, 20226624
3, 102, 64007942
3, 92, 59354523
3, 9, 59784509
3, 222, 40383652
3, 93, 9063922
3, 11, 14919532
3, 140, 77215
3, 79, 43890701
3, 84, 560691
3, 221, 12266331
3, 63, 299775923
3, 185, 210184969
3, 101, 19534349
3, 174, 72972216
3, 150, 49717657
3, 53, 96751
3, 10, 9065555
3, 154, 7426293
3, 149, 368373113
3, 17, 704560
3, 33, 59973072
3, 126, 14534871
3, 190, 10643000
3, 172, 96080
3, 143, 28563586
3, 213, 38083741
3, 76, 913161
3, 196, 20098
3, 228, 42112779
3, 89, 7446001
3, 129, 14982421
3, 83, 721902444
3, 91, 13634805
3, 179, 10450839
3, 123, 232234001
3, 37, 616345
3, 35, 34214
3, 103, 6039685
3, 96, 239531561
3, 199, 11797063
3, 74, 9034166
3, 70, 58689537
3, 117, 70805438
5, 5, 593583
5, 11, 74289
5, 10, 33472
5, 0, 30237
5, 6, 35667
5, 15, 31950
5, 2, 44694
5, 3, 30898
5, 9, 30837
5, 7, 114033
5, 13, 87264
5, 1, 42320
5, 16, 59591
5, 8, 121748
5, 12, 23204
5, 4, 43130
5, 14, 10680
6, 22, 582762
6, 10, 1433075
6, 4, 145563
6, 12, 355286
6, 6, 102893
6, 15, 137238
6, 19, 237395
6, 3, 191478
6, 14, 973233
6, 11, 192821
6, 18, 435576
6, 26, 398236
6, 16, 2508299
6, 21, 335689
6, 1, 292949
6, 23, 2337730
6, 13, 143779
6, 25, 852738
6, 9, 16251
6, 2, 104386
6, 0, 1415904
6, 5, 140003
6, 20, 150502
6, 8, 33172
6, 7, 521326
6, 17, 191999
6, 24, 131146
7, 0, 43691
7, 3, 17813
7, 1, 25137
7, 2, 32822
8, 82, 57351189
8, 269, 10351425
8, 163, 143162610
8, 8, 198728146
8, 242, 249704231
8, 29, 68916478
8, 58, 27723702
8, 44, 38614235
8, 159, 3335869
8, 85, 31352930
8, 59, 38297202
8, 240, 23545163
8, 34, 256210541
8, 30, 14404227
8, 131, 18779134
8, 260, 3707545
8, 195, 29684205
8, 87, 42018463
8, 231, 180493612
8, 212, 74846298
8, 38, 16295490
8, 67, 41592805
8, 197, 7034058
8, 70, 7023329
8, 93, 11549448
8, 80, 75427386
8, 100, 57976802
8, 276, 3053340
8, 91, 72633913
8, 164, 369773
8, 62, 26218832
8, 173, 22591275
8, 133, 255642858
8, 244, 28236753
8, 97, 15545175
8, 134, 56975295
8, 245, 56240669
8, 129, 38727487
8, 169, 2828931
8, 83, 146089975
8, 60, 1250673
8, 20, 138695492
8, 25, 72936
8, 151, 15328749
8, 174, 137514639
8, 223, 256024573
8, 243, 14946512
8, 11, 307173533
8, 96, 31246030
8, 190, 75691982
8, 119, 27952099
8, 262, 13588929
8, 213, 50933827
8, 69, 3362729
8, 214, 18682382
8, 209, 298879152
8, 106, 31314569
8, 183, 84190574
8, 104, 7258689
8, 63, 11716192
8, 127, 101652880
8, 52, 48623468
8, 237, 29308742
8, 101, 182612
8, 121, 62287
8, 12, 124324628
8, 2, 299481
8, 225, 36769
8, 37, 40156184
8, 186, 415590445
8, 265, 5161581
8, 117, 57608853
8, 120, 3726342
8, 54, 84176799
8, 61, 11346968
8, 184, 97075756
8, 207, 10133515
8, 103, 3372840
8, 6, 29797737
8, 130, 55986363
8, 203, 37159870
8, 224, 45627194
8, 179, 1349427
8, 171, 140515221
8, 23, 372247009
8, 75, 26415130
8, 215, 7197664
8, 53, 14041950
8, 84, 6595486
8, 273, 18666151
8, 45, 26397899
8, 230, 105513283
8, 22, 74823414
8, 208, 14080851
8, 49, 82856
8, 194, 21869364
8, 26, 41602334
8, 251, 59762
8, 247, 521162439
8, 158, 641642082
8, 122, 22826977
8, 74, 1355199
8, 124, 41982135
8, 259, 858589
8, 142, 7005325
8, 220, 14266098
8, 155, 7543353
8, 109, 257385583
8, 73, 12674656
8, 136, 8551912
8, 114, 11228729
8, 219, 516782654
8, 152, 28519741
8, 266, 17828554
8, 249, 175373038
8, 153, 57811933
8, 5, 34803426
8, 126, 56532305
8, 162, 9365537
8, 141, 5222855
8, 187, 239307203
8, 107, 17921706
8, 123, 364934
8, 170, 251699940
8, 264, 102337444
8, 148, 6613040
8, 258, 430790132
8, 77, 22472
8, 156, 258050527
8, 143, 16015096
8, 92, 60102
8, 57, 14088284
8, 144, 17622937
8, 216, 142898345
8, 78, 69557749
8, 3, 28904
8, 185, 25992869
8, 16, 49849446
8, 221, 145693
8, 150, 29713249
8, 172, 539861
8, 147, 7532743
8, 175, 7155526
8, 35, 1383853
8, 42, 7244472
8, 267, 57103727
8, 238, 56372195
8, 86, 154608696
8, 0, 21996933
8, 140, 566193588
8, 198, 180809
8, 229, 9288201
8, 182, 18071908
8, 39, 7584950
8, 115, 6128372
8, 99, 14057778
8, 116, 177243273
8, 268, 7260112
8, 248, 106047714
8, 32, 71031802
8, 191, 150832
8, 157, 27596482
8, 277, 176586513
8, 28, 29153329
8, 76, 56745445
8, 36, 87608909
8, 188, 14185397
8, 108, 73042599
8, 278, 73174364
8, 227, 212458220
8, 232, 11397804
8, 270, 23369274
8, 102, 299421
8, 202, 376801162
8, 125, 256987156
8, 17, 21490
8, 165, 3985837
8, 254, 56157113
8, 222, 154084744
8, 196, 86883
8, 9, 233671714
8, 246, 28143398
8, 41, 75364408
8, 47, 1207843
8, 132, 566741965
8, 72, 6734297
8, 33, 86934675
8, 50, 28967803
8, 113, 3178966
8, 48, 27572508
8, 218, 53343702
8, 105, 29181551
8, 110, 238866687
8, 51, 519245187
8, 19, 76645008
8, 235, 31344505
8, 181, 5494194
8, 21, 3719859
8, 68, 6260890
8, 192, 31477886
8, 43, 223107340
8, 250, 18167447
8, 89, 13110905
8, 46, 5374579
8, 200, 9853111
8, 154, 174445530
8, 253, 14129603
8, 177, 200622294
8, 24, 146012360
8, 167, 34028203
8, 135, 3198543
8, 261, 3354374
8, 56, 77738056
8, 257, 90711422
8, 201, 71799150
8, 275, 27258238
8, 233, 6118755
8, 236, 10118058
8, 138, 41905280
8, 204, 294221206
8, 211, 27711009
8, 27, 11045303
8, 18, 665396819
8, 64, 666818141
8, 88, 32402447
8, 217, 18962918
8, 13, 14084847
8, 66, 69617772
8, 274, 31529984
8, 272, 56213709
8, 137, 82085019
8, 161, 69486366
8, 98, 50937574
8, 81, 52259309
8, 128, 43314341
8, 111, 39434491
8, 210, 563402627
8, 226, 56287577
8, 112, 50962400
8, 31, 393193033
8, 145, 57588766
8, 168, 7247939
8, 149, 86569802
8, 146, 16295079
8, 255, 23616877
8, 228, 46450828
8, 193, 80456299
8, 205, 41793943
8, 139, 238461035
8, 10, 3355998
8, 7, 11581379
8, 263, 13959995
8, 234, 39703676
8, 94, 19848417
8, 176, 14553486
8, 90, 7101906
8, 166, 121606726
8, 4, 856073
8, 206, 9355478
8, 160, 98099625
8, 79, 52218
8, 95, 32507133
8, 118, 6923853
8, 14, 29120438
8, 189, 14106248
8, 239, 317495572
8, 55, 372651488
8, 71, 49815581
8, 256, 14890848
8, 15, 255359126
8, 271, 22042887
8, 252, 393897544
8, 65, 3358351
8, 40, 58990
8, 241, 27914008
8, 178, 70542
8, 180, 42150531
8, 199, 7122255
8, 1, 17352270
9, 13, 11346027
9, 18, 1891623
9, 19, 14096
9, 42, 10699736
9, 2, 12934
9, 46, 3287310
9, 10, 462396
9, 16, 56195
9, 15, 1092768
9, 45, 5945359
9, 21, 423073
9, 27, 1315214
9, 32, 1560143
9, 38, 2223145
9, 11, 425317
9, 14, 445785
9, 7, 129292
9, 9, 13440341
9, 44, 33533
9, 26, 137478
9, 29, 626785
9, 33, 8041436
9, 30, 1213954
9, 4, 3602940
9, 17, 53580
9, 40, 2511126
9, 5, 607508
9, 36, 769631
9, 6, 124112
9, 28, 1506051
9, 22, 1519336
9, 3, 207589
9, 20, 151895
9, 31, 152676
9, 39, 851185
9, 24, 1279628
9, 23, 266720
9, 25, 657823
9, 34, 666028
9, 8, 1627299
9, 35, 1914026
9, 0, 8108331
9, 1, 87544
9, 12, 16784475
9, 41, 8094405
9, 43, 24708984
9, 37, 314630
10, 42, 175923420
10, 285, 429240530
10, 50, 134146930
10, 286, 58184140
10, 241, 57384662
10, 231, 53747359
10, 85, 29366891
10, 177, 15854344
10, 22, 48380051
10, 337, 5204732
10, 378, 57861356
10, 7, 23457449
10, 161, 127566010
10, 145, 229500649
10, 97, 59685423
10, 122, 49344119
10, 335, 598584521
10, 347, 281895784
10, 266, 262470670
10, 154, 84035053
10, 142, 23454292
10, 144, 2474586
10, 88, 11097653
10, 70, 15907022
10, 342, 228729
10, 87, 21218484
10, 287, 625494349
10, 327, 32563118
10, 359, 17849393
10, 147, 3965780
10, 350, 28451334
10, 293, 87114073
10, 93, 24725004
10, 108, 18625225
10, 198, 80769935
10, 165, 18683816
10, 41, 25942544
10, 79, 52760689
10, 338, 41619516
10, 270, 59019034
10, 126, 58824159
10, 332, 428037907
10, 246, 127911417
10, 320, 418699390
10, 428, 172983111
10, 355, 5173903
10, 51, 8581460
10, 33, 26011122
10, 226, 34869650
10, 390, 15123865
10, 38, 96087724
10, 244, 287109359
10, 309, 419775127
10, 330, 31967803
10, 399, 21633252
10, 383, 59374069
10, 302, 52809040
10, 134, 138288860
10, 190, 24662346
10, 406, 1588025
10, 303, 5452074
10, 73, 278968239
10, 101, 14695944
10, 189, 13125271
10, 336, 174073243
10, 420, 19968452
10, 3, 192248033
10, 323, 82294
10, 280, 9301827
10, 71, 117538104
10, 277, 79587870
10, 72, 5218768
10, 268, 15679196
10, 218, 140989108
10, 283, 261190771
10, 276, 70029073
10, 8, 21111623
10, 224, 12477276
10, 1, 230246928
10, 24, 80806875
10, 221, 2447485
10, 240, 123695659
10, 292, 42377316
10, 193, 13759128
10, 174, 5732430
10, 59, 44129829
10, 365, 34162675
10, 351, 55143524
10, 317, 18856378
10, 173, 1617931
10, 379, 54872
10, 423, 33943976
10, 387, 41010173
10, 10, 188900063
10, 314, 89461009
10, 284, 22700781
10, 381, 167519794
10, 4, 27250155
10, 380, 10597094
10, 306, 667047640
10, 136, 124100698
10, 62, 11262219
10, 146, 53747538
10, 334, 465582
10, 105, 25070791
10, 43, 13718031
10, 427, 92933696
10, 297, 2535731
10, 408, 6250841
10, 81, 24397680
10, 388, 1237789
10, 421, 124535062
10, 225, 52987023
10, 414, 44066180
10, 291, 23389501
10, 413, 11063519
10, 106, 22534619
10, 418, 19757
10, 271, 21490623
10, 2, 4669339
10, 98, 41359970
10, 121, 864437148
10, 397, 368145967
10, 34, 112463565
10, 424, 12150514
10, 104, 20020950
10, 367, 77197673
10, 54, 18613764
10, 151, 112433940
10, 40, 131269018
10, 53, 11017461
10, 192, 17786976
10, 113, 53541
10, 233, 18605
10, 36, 458879
10, 61, 25264904
10, 348, 5177000
10, 207, 21485113
10, 402, 126437556
10, 60, 15497314
10, 368, 260047179
10, 56, 122090752
10, 109, 48016461
10, 308, 8197168
10, 5, 38807037
10, 248, 21147150
10, 400, 60302179
10, 328, 142282713
10, 288, 625997893
10, 203, 52691751
10, 28, 25578882
10, 345, 42865200
10, 48, 87528859
10, 156, 1322307
10, 162, 106669369
10, 219, 11609401
10, 202, 428499600
10, 12, 865496043
10, 67, 90955228
10, 329, 10732418
10, 326, 104602727
10, 299, 19096667
10, 358, 21421144
10, 29, 5252411
10, 57, 11273271
10, 159, 230524487
10, 195, 10658891
10, 182, 17926325
10, 128, 587888793
10, 386, 166150670
10, 112, 52318131
10, 171, 42249486
10, 76, 48171372
10, 260, 10678065
10, 396, 172133441
10, 119, 56815986
10, 125, 899190721
10, 316, 166650968
10, 252, 175625891
10, 305, 11318417
10, 176, 23981250
10, 429, 77375767
10, 234, 17692437
10, 65, 11038631
10, 160, 10989680
10, 115, 627986889
10, 6, 19144389
10, 143, 2298276
10, 392, 53440183
10, 194, 126006317
10, 431, 11295954
10, 262, 96810328
10, 133, 232510167
10, 249, 32585890
10, 64, 18161065
10, 26, 173264157
10, 123, 14370844
10, 363, 24226000
10, 199, 19999589
10, 157, 18893918
10, 376, 56073737
10, 63, 22866992
10, 170, 432922919
10, 346, 15838323
10, 417, 144226123
10, 438, 43739909
10, 318, 23617809
10, 357, 14245589
10, 118, 14004118
10, 333, 84974423
10, 261, 42646339
10, 91, 59300531
10, 331, 27258730
10, 290, 5659684
10, 264, 58966907
10, 353, 45105999
10, 352, 13968251
10, 152, 21456860
10, 238, 30681463
10, 282, 259691322
10, 100, 33520471
10, 312, 5766113
10, 66, 84642451
10, 296, 23257825
10, 254, 82293942
10, 132, 729683052
10, 19, 11165027
10, 31, 152159968
10, 83, 86627100
10, 405, 80605277
10, 410, 8577781
10, 110, 399456719
10, 32, 5751847
10, 30, 1580010
10, 294, 5884666
10, 84, 37264436
10, 169, 437341276
10, 389, 84704918
10, 255, 264418439
10, 437, 5674732
10, 116, 65266209
10, 340, 15633872
10, 44, 188519538
10, 167, 28699831
10, 258, 8111327
10, 80, 143020354
10, 178, 258547579
10, 75, 279363990
10, 313, 2488974
10, 166, 26872276
10, 77, 12100080
10, 206, 27662436
10, 45, 14041717
10, 325, 626831816
10, 158, 319699
10, 228, 53475789
10, 310, 123937432
10, 52, 58715766
10, 403, 437455430
10, 37, 174865628
10, 441, 331712
10, 430, 278962187
10, 324, 24753527
10, 103, 682466458
10, 149, 26028
10, 187, 80911341
10, 344, 58935588
10, 214, 54322305
10, 440, 120843374
10, 384, 58976386
10, 0, 188949805
10, 220, 896095923
10, 213, 38815933
10, 11, 5926053
10, 422, 118080579
10, 432, 41579832
10, 27, 37054103
10, 272, 428623362
10, 235, 85696556
10, 39, 10845971
10, 267, 87707463
10, 372, 118988710
10, 419, 22743271
10, 35, 123383113
10, 257, 86796727
10, 95, 54271451
10, 416, 10692021
10, 131, 41528035
10, 180, 1509418
10, 58, 52882307
10, 385, 221786
10, 321, 230059336
10, 436, 52408900
10, 148, 119302938
10, 301, 431889171
10, 9, 29304674
10, 69, 53041235
10, 74, 281663147
10, 135, 59141884
10, 300, 30647069
10, 130, 8635980
10, 201, 21327958
10, 371, 43544302
10, 96, 2473745
10, 426, 263348955
10, 208, 41700127
10, 349, 171968600
10, 18, 15727726
10, 92, 8539229
10, 227, 150203222
10, 141, 12160343
10, 442, 40979437
10, 412, 24837323
10, 17, 15914596
10, 55, 426086900
10, 210, 127811530
10, 245, 126013972
10, 102, 19348371
10, 155, 57216969
10, 127, 56460060
10, 196, 34896510
10, 124, 268179185
10, 275, 58035412
10, 120, 10730563
10, 232, 17162905
10, 411, 729312907
10, 137, 11877873
10, 94, 149120594
10, 401, 627414548
10, 229, 204037081
10, 197, 92452946
10, 215, 142644169
10, 163, 1073865260
10, 315, 2520042
10, 222, 11403343
10, 209, 5819424
10, 304, 5574624
10, 307, 13289257
10, 114, 58867682
10, 89, 22624998
10, 13, 31910
10, 361, 53941262
10, 90, 11370953
10, 373, 430585830
10, 99, 8512709
10, 82, 122190459
10, 20, 8257360
10, 217, 50313083
10, 47, 1024690979
10, 382, 23700766
10, 184, 897908187
10, 175, 45459030
10, 394, 1107865
10, 168, 24564231
10, 435, 320030
10, 150, 76388527
10, 14, 203066123
10, 23, 115419883
10, 251, 53350775
10, 273, 20549
10, 322, 87019695
10, 364, 16116845
10, 179, 5954085
10, 343, 42013725
10, 374, 87429281
10, 398, 42193672
10, 279, 13800566
10, 46, 2507698
10, 362, 13807500
10, 78, 174231480
10, 341, 171227992
10, 191, 14495838
10, 236, 419277865
10, 25, 55728459
10, 16, 590792565
10, 395, 21186945
10, 242, 8105876
10, 164, 5334043
10, 211, 57081925
10, 107, 8423262
10, 274, 229988542
10, 205, 54401033
10, 247, 173209214
10, 281, 628092356
10, 186, 267735042
10, 153, 55930629
10, 140, 57775535
10, 216, 87598941
10, 295, 33518649
10, 185, 627623098
10, 237, 163777143
10, 409, 30206922
10, 181, 57628650
10, 377, 24298185
10, 188, 5651137
10, 434, 2598429
10, 68, 12230724
10, 319, 571435588
10, 259, 3948518
10, 15, 230667324
10, 370, 54100050
10, 250, 689312
10, 354, 21531510
10, 415, 286964239
10, 425, 5864978
10, 311, 562304561
10, 356, 11354633
10, 243, 119750158
10, 369, 2547011
10, 269, 33661455
10, 21, 14263945
10, 289, 11773447
10, 138, 17148909
10, 263, 112337669
10, 117, 35841531
10, 278, 147992691
10, 253, 602664316
10, 393, 126886226
10, 200, 119104327
10, 256, 13594890
10, 375, 27702852
10, 298, 899806003
10, 49, 5191998
10, 204, 52843945
10, 265, 39174
10, 139, 26630
10, 339, 119665097
10, 239, 172139300
10, 404, 392904401
10, 439, 5410638
10, 360, 24205
10, 86, 42370111
10, 129, 85146035
10, 183, 27890064
10, 212, 61462743
10, 172, 43380445
10, 407, 127161932
10, 230, 39620471
10, 366, 25251339
10, 433, 11071413
10, 391, 37916680
10, 223, 143630557
10, 111, 11558907
11, 5, 59160
11, 1, 49693
11, 2, 13986
11, 4, 29826
11, 3, 43762
11, 0, 27361
11, 7, 44544
11, 8, 12673
11, 6, 22552
12, 193, 2783014
12, 13, 13358357
12, 66, 7217524
12, 181, 1872909
12, 70, 4211130
12, 59, 17974
12, 183, 5406529
12, 53, 11951923
12, 73, 3016592
12, 164, 87739424
12, 191, 7321527
12, 3, 5221853
12, 79, 22154446
12, 138, 12192073
12, 135, 2714857
12, 96, 37667000
12, 129, 3891291
12, 88, 7254131
12, 39, 5382835
12, 7, 2716689
12, 4, 10881387
12, 178, 3509795
12, 124, 1076526
12, 176, 7619345
12, 58, 8219850
12, 20, 21920630
12, 25, 31703798
12, 83, 22475470
12, 108, 26695284
12, 127, 6342944
12, 174, 18031403
12, 172, 18515
12, 100, 11945500
12, 141, 16274501
12, 187, 26004181
12, 189, 1931839
12, 2, 3018906
12, 185, 13046152
12, 1, 3656400
12, 15, 12151095
